i theta vel
1 1.0739154271047013 -6366.577585283953
2 2.5283572313026816 -2121.7957244099907
3 0.15792454956274504 -1272.49597739286
4 5.602438497316026 -909.9913529409615
5 0.8664231588381535 -707.5414669652743
6 4.842118925431729 -578.9286660216603
7 6.0914310272693495 -489.59885100952613
8 5.047288396316481 -425.2413263508797
9 3.408676099620162 -374.0434270994779
10 4.233018413546999 -334.95693482157856
11 4.781433263878366 -303.2346707015767
12 5.938249405836366 -277.4848552979197
13 2.183159525472742 -254.51306747662474
14 5.801039046948349 -236.140653767125
15 0.32625680079787456 -220.25870212019035
16 2.5679637369343857 -205.31395838418175
17 4.45144548859096 -192.1073909420035
18 0.6398557150999615 -182.6006157824757
19 1.8113843247667556 -172.76940680706295
20 5.2878313845402545 -162.6407865189417
21 4.942143057370922 -154.49185740981784
22 6.001119608468467 -147.85579218749464
23 0.5826222389253062 -141.91466028635915
24 0.26126034949699073 -135.6004534112207
25 3.0203413698522112 -130.12118290806762
26 3.9754293933091027 -124.32077879988951
27 1.732251952097645 -120.94163118450538
28 5.690659633961534 -115.1123543837867
29 2.6451139282164515 -112.28006323931731
30 5.063366782493014 -107.06959283538374
31 1.313990280603897 -105.02622992257658
32 0.5300351619068413 -101.13788482518589
33 3.8687496703674076 -97.70930335395026
34 0.6420093720325658 -95.14763711984514
35 2.0051018992753713 -93.08734740482078
36 0.5684935795803331 -89.68895545329526
37 2.799029630478937 -87.84941305940265
38 3.5347319149133662 -85.02891270307542
39 5.397179498270692 -81.8472664633347
40 3.971000484640121 -80.40925021749551
41 4.013043435061685 -78.40166963078141
42 2.752406364780703 -77.41302703164945
43 5.03601725172129 -74.11662298613967
44 5.49141700989221 -72.34347130511678
45 2.296639567860306 -72.35446896524604
46 2.1919253251726283 -70.7782284634396
47 5.539826401532715 -67.62227710827625
48 5.572519529057546 -66.18232385251741
49 3.3634684404341573 -66.0550765516799
50 5.773725186997071 -63.50046665374056
51 2.2730872859195106 -63.85209968370775
52 1.689721460897935 -62.44317106618447
53 6.2613376166376575 -60.001480353989294
54 1.3939416503584123 -59.933666781972015
55 5.321999309117049 -57.59488274337328
56 5.454202983780447 -56.52434364339674
57 2.1642607718961204 -57.13219037850301
58 5.362014213469172 -54.545494330585036
59 4.862727257747711 -53.79268733459638
60 4.900323548990752 -52.862594768512956
61 1.632242259406551 -53.161846165466564
62 0.8186382561339143 -51.6725989173375
63 3.2071455045324897 -51.543911967597786
64 3.4987632431339106 -50.56418233506618
65 2.370984545047084 -50.165885623280616
66 5.335316979451819 -47.8048507564555
67 0.12337403604737313 -47.24549066020392
68 2.122790072088413 -47.91398882408157
69 2.3507719584492883 -47.27753284956226
70 2.4833693757415785 -46.62064441502057
71 2.367850554072023 -45.95963222597557
72 2.8213787480180814 -45.30913712906589
73 5.26980643734568 -43.146649052413274
74 5.381916147915456 -42.51627657728097
