i R \phi
65 0.00785644345585848 1.294292276871161
66 0.007869219440328847 1.392848998454234
67 0.009081741453699806 1.505151860994103
68 0.010282272121375153 1.5530707439164022
69 0.010365259079260258 1.5647486441126943
70 0.010215435758502438 1.5509640783048453
71 0.010637061891041088 1.423681867482891
72 0.011251810993960738 1.2852239199678868
73 0.012150420419061768 1.2409353532968863
74 0.012889189967640227 1.0477276976649896
75 0.013077190773805989 1.0224313209146283
76 0.014362945916681582 0.967983566069343
77 0.015385407755354841 0.9172038656290501
78 0.014503899308198846 0.9915282173669677
79 0.01496461910939522 0.9844282840516508
80 0.016485686468600838 1.035010863515589
81 0.01657925957746885 1.042674272298534
82 0.016534760668596934 0.9813786080025945
83 0.01562243312035566 1.0667815354862715
84 0.0144416443967729 0.9828697244748581
85 0.01383044910500718 0.9985684033475815
86 0.013859471124510525 1.099626838058275
87 0.01478055462439039 1.0779518548432718
88 0.015043080915418505 1.1925635030785704
89 0.015668495060830956 1.1552485839265016
90 0.015960987399162706 1.1200587673328755
91 0.015212189072914453 1.1818041670024988
92 0.014540136615450932 1.1974761157007772
93 0.0139062517727077 1.2925645567744544
94 0.015000488050257001 1.1966909124974494
95 0.014524212400511986 1.1779463084307116
96 0.013064903252822084 1.2057718162133193
97 0.013368427256439873 1.1235090674335166
98 0.014820451933859424 1.1553887218529562
99 0.015724138700685213 1.1186300600731791
100 0.01586832053004349 1.097677422321481
101 0.01694916856925369 1.1869866485162017
102 0.016569294540399567 1.2417332706372848
103 0.016977325887913303 1.2822694501157417
104 0.01801791850558871 1.3582086612831796
105 0.017972827146135822 1.3449224969636162
106 0.015970167671019588 1.4465498186477126
107 0.015486706801873454 1.3950049395465585
108 0.015725201582370233 1.3903437368393237
109 0.015025296821308215 1.3424348299681443
110 0.016370606408368654 1.4809756412310433
111 0.016038646349530186 1.3253260217182388
112 0.014611494231538036 1.3508414256684929
113 0.013615007229307391 1.3461536453310428
114 0.014491754391548069 1.2817982594714896
115 0.014333005183470868 1.3500916572459838
116 0.014052148747108468 1.2569533246827709
117 0.014683790088962319 1.3009248455431648
118 0.01395652462166371 1.3898704792638905
119 0.014902305754244657 1.350176471918656
120 0.015002887594592352 1.3150575957224389
121 0.014384115973166517 1.333047395435866
122 0.013945083647880632 1.3327581578971388
123 0.015014054467459024 1.4303872386506544
124 0.014906973659939095 1.2586962682515743
125 0.013951783397058742 1.2697478483373796
126 0.014953577268991979 1.145307704068876
127 0.015198458592698985 1.106952362449576
128 0.016080943639196446 1.1832860703331782
129 0.01499487840284104 1.1518983812501247
130 0.014791300064396187 1.0923528894349195
131 0.01494321203304479 1.0067094169229907
132 0.015019103249461204 1.022603954210812
133 0.01390914121025953 1.13334260792233
134 0.014979885485610639 0.9867302123185199
135 0.01714841857042821 1.0107785620689123
136 0.017152845145308314 0.9786024993556397
137 0.017150865391834882 1.0538891560045027
138 0.016902830806341078 1.1377397722661817
139 0.017782631200480174 1.181247727788238
140 0.017251091244704028 1.283634064257792
141 0.018154960474907476 1.3910813171829755
142 0.01976937952944377 1.4158556873515455
143 0.020541739885475644 1.3266550068824678
144 0.021484582612341943 1.3470914488017127
145 0.019997298416919856 1.3296670842145546
146 0.01978235487923258 1.3082441841986352
147 0.01962537443167032 1.3311214373447733
148 0.020790726093022207 1.2982611804556579
149 0.020638472530103476 1.2900622430550874
150 0.020134206590422022 1.3436332830877509
151 0.019706913561057342 1.2920427945761956
152 0.020302505776081635 1.296734690150443
153 0.02317855059693339 1.2845830621557155
154 0.023155928557563255 1.281001540132869
155 0.023326180782439702 1.3895756600111706
156 0.023631749445635425 1.308881067969396
157 0.02404762603827029 1.3083272734948515
