\lambda R
0.1 0.004247071689069016
0.3538461538461538 0.0049865889139059675
0.6076923076923076 0.005808008766378708
0.8615384615384615 0.006962194447357115
1.1153846153846154 0.009086205706226532
1.3692307692307693 0.013491639667230763
1.623076923076923 0.02203342652996228
1.876923076923077 0.035996618778179064
2.1307692307692307 0.17255284666532816
2.3846153846153846 0.3966106285902904
2.6384615384615384 0.49414727346281634
2.8923076923076922 0.5568172449660872
3.146153846153846 0.5961134903181907
3.4 0.6434136252257964
3.6538461538461537 0.6763575825315918
3.9076923076923076 0.7021672432768966
4.161538461538461 0.716516081534407
4.415384615384615 0.7364425371319848
4.669230769230769 0.7576943526625238
4.9230769230769225 0.7729733893235804
5.176923076923076 0.7845409015948851
5.43076923076923 0.7984895193359216
5.684615384615384 0.8100251138977078
5.938461538461538 0.8117911070969703
6.192307692307692 0.8233907134835838
6.4461538461538455 0.833406398162323
6.699999999999999 0.8395674473600234
6.953846153846153 0.841021721916766
7.207692307692307 0.8473244607186883
7.461538461538461 0.8568432208724139
7.715384615384615 0.8613019691545662
7.9692307692307685 0.8657850804928058
8.223076923076922 0.8715732286728166
8.476923076923077 0.875566420534284
8.73076923076923 0.8798479125389301
8.984615384615383 0.8795644039661729
9.238461538461538 0.8835596425930136
9.492307692307692 0.8884744065027025
9.746153846153845 0.8923286945986368
10.0 0.8934232131169391
